names,wkt_geom,type
Аграрная,"POLYGON((30.7173837 46.5517958, 30.7131956 46.5508824, 30.7123561 46.5504111, 30.7173837 46.5517958))",street
Агрономическая,"LINESTRING(30.6947575 46.4905283, 30.6912068 46.4901541, 30.6889945 46.4903783, 30.6887969 46.4896519, 30.6884821 46.4894889, 30.6812394 46.4901647, 30.6807097 46.4903298, 30.6746802 46.4940642, 30.6659132 46.4950791, 30.654722 46.495991)",street
Адмиральский,"LINESTRING(30.7253715 46.4377133, 30.7265902 46.4375851, 30.7264923 46.4377879, 30.7270693 46.4375399, 30.7282217 46.4374317, 30.7288301 46.4375664, 30.7307827 46.4373814, 30.7414628 46.4361764, 30.7444782 46.43726)",street
Азарова,"POLYGON((30.7594444 46.4660057, 30.7593006 46.465711, 30.759678 46.4657284, 30.7596603 46.4659997, 30.7594444 46.4660057))",street
Академическая,"LINESTRING(30.7566549 46.4405733, 30.7435183 46.4425026)",street
академия спорта,"POLYGON((30.6601763 46.4738232, 30.6604673 46.4736329, 30.6606001 46.4737363, 30.657854 46.4754377, 30.6566304 46.4732598, 30.6592992 46.4727628, 30.6599 46.4732579, 30.6598196 46.4736015, 30.6601763 46.4738232))",street
академия холода,"POLYGON((30.7320569 46.487651, 30.7308365 46.486895, 30.732164 46.4858878, 30.7324092 46.4860216, 30.7321684 46.4862858, 30.7323193 46.4863729, 30.7323094 46.4868429, 30.7327389 46.4871249, 30.7320569 46.487651))",street
Аккордная,"LINESTRING(30.6976173 46.4607553, 30.6977603 46.4595606, 30.697971 46.4590771, 30.698134 46.4569835)",street
Александровский|Проспект Мира,"LINESTRING(30.7337809 46.4699804, 30.734304 46.4735663)",street
Аллея Славы,"LINESTRING(30.7595879 46.4777138, 30.7611465 46.4790601)",street
Альтаировский|Альтаир,"MULTIPOLYGON(((30.7260138 46.421864, 30.7257112 46.422819, 30.7253065 46.4227579, 30.7256082 46.4218032, 30.7260138 46.421864)),((30.7253656 46.4237733, 30.7254581 46.4235033, 30.7263212 46.4237045, 30.7262073 46.4239103, 30.7253656 46.4237733)))",street
Амбулаторная,"LINESTRING(30.7071019 46.3550008, 30.7022569 46.3548922)",street
Амурская,"LINESTRING(30.622649 46.4830855, 30.6303027 46.4797899)",street
Анатра|Вишневского|Генерала Вишневского,"LINESTRING(30.6950656 46.4303202, 30.6953663 46.4302611, 30.6962817 46.4298858, 30.6967922 46.4296646, 30.6980254 46.4291457, 30.6983394 46.4290135, 30.6997697 46.4283974, 30.7002174 46.4282045, 30.7002909 46.4281729, 30.7011863 46.4277871, 30.7018143 46.4275290)",street
Ангарская,"LINESTRING(30.6175544 46.4734769, 30.6150748 46.4856752, 30.6151988 46.4862451)",street
Андижон,"POLYGON((30.7583882 46.4361578, 30.7579471 46.4360569, 30.7580316 46.4358814, 30.7584727 46.4359822, 30.7583882 46.4361578))",street
Андреевского,"LINESTRING(30.7152924 46.500988, 30.7144805 46.4986855)",street
Арбузная,"LINESTRING(30.7426415 46.4124389, 30.7447988 46.4111735)",street
аркадийская аллея,"POLYGON((30.7664357 46.4284586, 30.7619545 46.4303867, 30.7616436 46.4306582, 30.7664357 46.4284586))",street
Аркадийский,"LINESTRING(30.7560443 46.4273897, 30.7614261 46.4247451)",street
Аркадия,POINT(30.7609722 46.431944),street
Аркадия Плаза,"POLYGON((30.760502 46.4313313, 30.7603346 46.4313248, 30.7594028 46.4303285, 30.7594782 46.4301567, 30.7609959 46.4295348, 30.7615103 46.4298822, 30.7614616 46.4301484, 30.760502 46.4313313))",street
Арт-Шат,"POLYGON((30.6804141 46.4452737, 30.6804138 46.4452003, 30.6806692 46.4451996, 30.6806696 46.4452731, 30.6804141 46.4452737))",street
Артезианская,"LINESTRING(30.6937449 46.4726868, 30.6958016 46.4718315)",street
Артем,"POLYGON((30.7534465 46.4294573, 30.7532602 46.4299855, 30.7530707 46.4299377, 30.753257 46.4294095, 30.7534465 46.4294573))",street
Артиллерийская,"LINESTRING(30.7286494 46.4524881, 30.7296959 46.4522856, 30.7312818 46.4519626, 30.7346393 46.4512945, 30.7362742 46.4509705, 30.739004 46.450567)",street
Архитекторская,"LINESTRING(30.7155642 46.3831629, 30.7212852 46.3844873)",street
Архитектурная,"LINESTRING(30.7444733 46.4140092, 30.7509011 46.4146138)",street
Ассоль,"POLYGON((30.76608 46.4279317, 30.765959 46.4276819, 30.7662179 46.4275186, 30.7663011 46.4278803, 30.76608 46.4279317))",street
Асташкина,"POLYGON((30.7235117 46.4790162, 30.7240004 46.4772249, 30.7250159 46.4762751, 30.7235117 46.4790162))",street
Астрономическая,"LINESTRING(30.7381223 46.4235626, 30.7351448 46.4251216)",street
Атамана Чепиги,"POLYGON((30.7199944 46.4977509, 30.7211639 46.5008685, 30.7206765 46.5046474, 30.7199944 46.4977509))",street
Атриум,POINT(30.808405 46.583144),street
Афина,"POLYGON((30.7358811 46.4825621, 30.7358914 46.4831994, 30.7353421 46.4832326, 30.7352517 46.4825017, 30.7356002 46.4823975, 30.7358811 46.4825621))",street
ахматовой,"LINESTRING(30.7386945 46.4045625, 30.7397795 46.4047122)",street
Ашхабадская,"LINESTRING(30.6439842 46.4689345, 30.647109 46.4667639)",street
Аэродромная,"LINESTRING(30.6281139 46.4829088, 30.6328357 46.4808674, 30.6329312 46.4806161)",street
Б Арнаутская|Большая Арнаутская|Чкалова,"LINESTRING(30.7257518 46.4736596, 30.7251394 46.4737027, 30.7536084 46.4716928)",street
Бабушкина,"LINESTRING(30.7346652 46.3927034, 30.7418056 46.3907581)",street
Багрицкого,"LINESTRING(30.7125025 46.4471934, 30.7265046 46.4404599)",street
Бадаева,"LINESTRING(30.6996704 46.4993088, 30.6992619 46.4998524, 30.6982402 46.5004138, 30.6930252 46.5008944, 30.6894257 46.501451)",street
Бажана,"LINESTRING(30.6881164 46.4516729, 30.6854869 46.4528115)",street
база моряков,"POLYGON((30.7632997 46.4416468, 30.7611313 46.4407274, 30.7622123 46.438136, 30.7627888 46.437829, 30.7631779 46.4378791, 30.7629901 46.438234, 30.7638162 46.438441, 30.7629096 46.4399012, 30.7633176 46.4400267, 30.7630964 46.4402665, 30.764031 46.4406819, 30.7634564 46.4412456, 30.7635238 46.441391, 30.7632997 46.4416468))",street
Байкальская,"LINESTRING(30.7341702 46.3878322, 30.7331278 46.3858185)",street
Балковская|Фрунзе,"LINESTRING(30.7046929 46.4545161, 30.7061622 46.4549429, 30.7064685 46.4587271, 30.7065432 46.4680784, 30.7061281 46.4750732, 30.7078503 46.4796506, 30.7085654 46.4836115, 30.7091691 46.4857404, 30.7115335 46.4882986, 30.7135673 46.4919045, 30.716148 46.4945988, 30.7172946 46.4959206, 30.7174703 46.4963939, 30.7200198 46.4972244, 30.7231105 46.4971466)",street
Бассейная,"LINESTRING(30.7323324 46.4564887, 30.7316818 46.456764, 30.7297201 46.458315, 30.7293698 46.4584342)",street
Батуринская,"POLYGON((30.6438081 46.470759, 30.6482847 46.4675949, 30.6488173 46.4667129, 30.6490616 46.4658783, 30.6438081 46.470759))",street
Бахмутская,"LINESTRING(30.7773349 46.571468, 30.7835969 46.5829802)",street
Бахчевая,"LINESTRING(30.619108 46.465959, 30.625797 46.4662072)",street
Баштанная,"POLYGON((30.7521883 46.4161904, 30.7509011 46.4146138, 30.7500002 46.4129881, 30.7497564 46.4122704, 30.7500145 46.4109181, 30.7521883 46.4161904))",street
Белинского,"LINESTRING(30.754246 46.474501, 30.7532757 46.4702214, 30.7526248 46.4677311)",street
 Береговая,"LINESTRING(30.6554948 46.5453408, 30.6564379 46.5442159, 30.6595158 46.5423876, 30.6601713 46.5423029, 30.6631579 46.5426359, 30.6637489 46.5423595, 30.66396 46.541838)",street
Березовка|Березівка,POINT(30.571 46.576),village
Бернардацци,"LINESTRING(30.7547727 46.4196977, 30.7556646 46.4184992, 30.7591439 46.4148971, 30.7600333 46.4135368)",street
Берёзовая,"LINESTRING(30.7261984 46.4190025, 30.7334275 46.4191157)",street
Бессарабская,"POLYGON((30.6464748 46.473344, 30.6471839 46.473601, 30.6491711 46.4727194, 30.6464748 46.473344))",street
Бехтерева,"POLYGON((30.6954876 46.4907733, 30.6953096 46.4899103, 30.6982788 46.4856797, 30.6954876 46.4907733))",street
Бирюкова,"LINESTRING(30.672274 46.4695988, 30.6717945 46.4687805)",street
Богдана Хмельницкого|Богдана,"LINESTRING(30.7135482 46.4625391, 30.727028 46.4708162, 30.7273141 46.47104, 30.7277349 46.4719699)",street
Богуна,"LINESTRING(30.6926626 46.4531001, 30.6891793 46.4491102)",street
Болгарская,"LINESTRING(30.7209442 46.4639425, 30.7160086 46.4607734)",street
Болградская,"LINESTRING(30.6464748 46.473344, 30.6516049 46.4697375)",street
Большевик,"POLYGON((30.7203961 46.537433, 30.7211095 46.5368104, 30.7219119 46.5372125, 30.7213969 46.5376238, 30.7209645 46.5374063, 30.720748 46.53761, 30.7203961 46.537433))",street
Боровского,"LINESTRING(30.6728993 46.4823596, 30.6633779 46.4847983, 30.6625419 46.485145, 30.6618258 46.4851702, 30.6542444 46.4871389, 30.6541519 46.4881855, 30.6536443 46.4888077, 30.6529247 46.4888952, 30.6496951 46.4904311, 30.6480055 46.4910641)",street
Бортнянского,"LINESTRING(30.7132614 46.4479915, 30.7192813 46.44512)",street
Ботанический сад,"POLYGON((30.7597546 46.44419, 30.7609744 46.4446046, 30.7617833 46.4434122, 30.7644379 46.4442606, 30.7641101 46.4457299, 30.7637025 46.4467436, 30.7615546 46.4463692, 30.7615029 46.4460419, 30.7590291 46.4453959, 30.7597546 46.44419))",street
бочарова,"LINESTRING(30.7868866 46.5922384, 30.8023268 46.5850067, 30.8122005 46.5816397)",street
Брестская,"LINESTRING(30.6689193 46.4694979, 30.674683 46.4680514)",street
Бреуса,"LINESTRING(30.707226 46.4531764, 30.7103071 46.4507608, 30.7268465 46.4428542)",street
Бригадна,"LINESTRING(30.735721 46.4342262, 30.7469872 46.4278895, 30.7515472 46.4255833)",street
БРСМ-Нафта,"POLYGON((30.6134166 46.4930351, 30.6134522 46.4928741, 30.6136217 46.4928919, 30.613586 46.4930529, 30.6134166 46.4930351))",street
Бугаёвская|Бугаевка|Бугаевская,"LINESTRING(30.7064767 46.4765735, 30.7053538 46.4761163, 30.703063 46.4745072, 30.6964802 46.4704062, 30.695432 46.4681792, 30.6947767 46.4658108)",street
бунина,"LINESTRING(30.7322459 46.481606, 30.7484131 46.4804704)",street
Буревестник,"POLYGON((30.751203 46.3930329, 30.7510432 46.3930362, 30.7510212 46.3925357, 30.751181 46.3925324, 30.751203 46.3930329))",street
Вадатурского,"LINESTRING(30.6980431 46.4508978, 30.7130569 46.443585, 30.7127008 46.4437589)",street
Ванный,"LINESTRING(30.75993 46.41273, 30.7592 46.41257, 30.75829 46.4129, 30.75748 46.41319, 30.75554 46.41388, 30.75423 46.41442, 30.75377 46.41471)",street
Варадеро,"POLYGON((30.7561499 46.4025066, 30.7565639 46.4023567, 30.7573331 46.4031074, 30.7569127 46.4032088, 30.7561499 46.4025066))",street
Варненская|Варянская,"LINESTRING(30.725262 46.431982, 30.7108206 46.4210059, 30.7088415 46.4190774, 30.7083557 46.4192395)",street
ВДВ,"POLYGON((30.7180726 46.4292444, 30.7183727 46.4290387, 30.7185539 46.4291438, 30.7182429 46.429361, 30.7180726 46.4292444))",street
Великодолинское|Большая долина|Акаржа|Аккаржа|Акарж,"POLYGON((30.5865013 46.3618535, 30.5862942 46.3634553, 30.5873403 46.3659318, 30.5898079 46.3684786, 30.5811538 46.3621763, 30.5765331 46.361971, 30.5725185 46.3602499, 30.5663466 46.3524892, 30.5626482 46.3504309, 30.5591181 46.3495298, 30.5545074 46.3436985, 30.5507093 46.3464314, 30.5518198 46.3406025, 30.5568795 46.3365311, 30.5361638 46.33327, 30.5357196 46.3264262, 30.5506557 46.3263128, 30.556047 46.3245421, 30.5736364 46.3268093, 30.5800524 46.3359435, 30.58789 46.3302239, 30.5973885 46.3304431, 30.6009364 46.3352841, 30.6001686 46.3392231, 30.5937397 46.3446923, 30.5904367 46.3485554, 30.5860897 46.3537028, 30.5865464 46.3558262, 30.5868119 46.3606196, 30.5865013 46.3618535))",town
Венгера,"LINESTRING(30.7152781 46.3622741, 30.712535 46.3602744)",street
Веры Фигнер,"LINESTRING(30.714031 46.443132, 30.7170744 46.4462024)",street
Веры Холодной,"LINESTRING(30.7307147 46.4817269, 30.7321803 46.4810882)",street
Весенняя,"LINESTRING(30.7169251 46.4475861, 30.7129807 46.4436544)",street
Вестерн,"POLYGON((30.7675297 46.4307299, 30.7673331 46.4304698, 30.767504 46.4303067, 30.7677767 46.4304224, 30.7675886 46.4305505, 30.7677908 46.4306361, 30.7675297 46.4307299))",street
Весёлая,"LINESTRING(30.70827 46.3590334, 30.7081814 46.3632602)",street
Ветеранов,"POLYGON((30.7870309 46.5597016, 30.7904398 46.5600889, 30.7921933 46.5601312, 30.7929902 46.5600395, 30.7941856 46.5595814, 30.7952751 46.5594697, 30.7870309 46.5597016))",street
Ветрогонова,"LINESTRING(30.6963055 46.493164, 30.6995997 46.4881304)",street
Вечерний Баку,"POLYGON((30.7129351 46.4034609, 30.7129727 46.4033148, 30.7133149 46.4033567, 30.7132772 46.4035029, 30.7129351 46.4034609))",street
Виктория,"POLYGON((30.747724 46.4741879, 30.7475619 46.474268, 30.7475436 46.4741613, 30.7476887 46.4741526, 30.747724 46.4741879))",street
Вильямса,"LINESTRING(30.73316 46.39015, 30.7235604 46.3914288, 30.723216 46.3911983, 30.7203022 46.3909114, 30.7150137 46.3900946, 30.7135116 46.389722, 30.7050569 46.3885809)",street
Винницкая,"LINESTRING(30.624218 46.4719155, 30.6243583 46.4689185)",street
Виноградная,"LINESTRING(30.639341 46.4956432, 30.6394419 46.4918546)",street
Вице-адмирала Жукова,"LINESTRING(30.7748148 46.5682093, 30.7718764 46.5625451)",street
